T,wavelet-LHL_glcm_Imc1,wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,squareroot_glszm_SmallAreaLowGrayLevelEmphasis,logarithm_firstorder_RootMeanSquared,squareroot_firstorder_RootMeanSquared,exponential_glrlm_RunLengthNonUniformity,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,wavelet-HLH_glcm_MCC,log-sigma-2-0-mm-3D_firstorder_Median,wavelet-HHL_glcm_InverseVariance,squareroot_firstorder_Skewness,exponential_glszm_LowGrayLevelZoneEmphasis,log-sigma-1-0-mm-3D_firstorder_Skewness,exponential_glcm_Imc2,exponential_glszm_SmallAreaEmphasis,logarithm_firstorder_Uniformity
0,-0.0752875889178797,329.59761992359563,0.0066098202419406,1177.1145799493884,972.9987096488568,6802.048268930221,1839.0558930134323,0.6834215586465048,-7.849270343780518,0.4158376948690456,-8.10679401812412,0.1910832005143155,-1.902806392337644,0.5268684208758116,0.3549080951820829,0.5327328815363026
1,-0.0802185455758599,293.51525554583213,0.0071496219432136,1091.156588230983,931.026689709952,8961.962646053329,1706.8401214153016,0.6503317052784118,-8.91454792022705,0.4141209952342929,-8.069017620419611,0.1023123196120762,-1.8732656084629369,0.5685965330692457,0.3876551995151629,0.4363576042243165
2,-0.0765607866894731,291.6927733570766,0.0048413322588061,1666.4185293862477,1190.3443332032273,2390.581092505861,1662.2124936240466,0.7016987768735404,-8.197422981262207,0.4137569895966981,-8.120306220523599,0.2736455463728191,-1.90750855962802,0.2588504716314386,0.3592704397225163,0.3701099380980824
3,-0.0765780613742804,332.05258199922235,0.0067905749044742,1126.501635989577,948.8918872485034,7889.862015536597,1880.70605936626,0.6505176621530523,-8.169510841369629,0.4157958449290465,-8.166307544598476,0.1374140230734555,-1.9016683958515903,0.5533965314574723,0.3751119257846299,0.5504158848508743
4,-0.0782949287323855,296.10508279977057,0.0047434617743688,1711.0651167578108,1208.8155217572169,1900.172932317187,1709.4054129978492,0.6585873258078738,-8.085760593414308,0.4149194205272565,-8.122397839572713,0.2741935483870967,-1.859463504273984,0.1645556493290305,0.3116387734835361,0.3583769052230384
5,-0.078693775264699,323.29872322358847,0.0064293758245946,1249.7438591252812,1007.5817745919868,5342.498414266023,1915.5876929583012,0.6724345128063984,-7.984477043151855,0.4154805428508395,-8.123961661127893,0.2746625198635885,-1.936786470393092,0.5271675827220306,0.3248425415354377,0.4874915214114191
6,-0.0767492100381872,293.49567567824835,0.0064247057669057,1215.3267073539646,991.8825129731256,6007.267172140201,1722.5136611262255,0.6632795219396728,-8.577497959136963,0.4180613735087701,-8.083777897317827,0.2261472088277524,-1.8741254040431188,0.5280224094756887,0.3285846361663704,0.4224232246145061
7,-0.0799149529687398,293.2424841970431,0.0065684374086595,1192.6294445824522,981.4684578307626,6442.208555903444,1738.2329722972806,0.6956470727065617,-8.246761798858643,0.4164655560399501,-8.163327966325308,0.201459126884933,-1.8932190392561383,0.5241172331986873,0.3307566716544238,0.4301643996534677
8,-0.0793435362151896,326.04172284826615,0.0064996176616545,1170.046146870282,971.5464720214352,7201.5672663209325,1891.3572692132348,0.650094537575481,-9.060248851776125,0.4157487739709619,-8.08367118360674,0.1612728856893232,-1.9021857348276183,0.5302179546817379,0.3268133880847028,0.4504123402028776
9,-0.08042096540231,324.19525063734267,0.0064212978618943,1204.9739690003405,988.4671792394436,6417.068310095282,1898.9310373371827,0.7165943226121868,-8.949612617492676,0.4148656409523545,-8.142306559537882,0.1925345865296473,-1.8553240929326031,0.5093241302835784,0.3152220804565298,0.5198560773710957
